GF(7^2),0,1,x,6x + 4,5x + 3,5x + 6,x + 6,5x + 4,6x + 6,3,3x,4x + 5,x + 2,x + 4,3x + 4,x + 5,4x + 4,2,2x,5x + 1,3x + 6,3x + 5,2x + 5,3x + 1,5x + 5,6,6x,x + 3,2x + 4,2x + 1,6x + 1,2x + 3,x + 1,4,4x,3x + 2,6x + 5,6x + 3,4x + 3,6x + 2,3x + 3,5,5x,2x + 6,4x + 1,4x + 2,5x + 2,4x + 6,2x + 2,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,32,1,0,16,49
1,2,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,16,24,3,6,48
x,2,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,16,24,1,8,50
6x + 4,2,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,16,24,3,6,48
5x + 3,2,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,16,24,1,8,50
5x + 6,2,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,16,24,3,6,48
x + 6,2,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,16,24,1,8,50
5x + 4,2,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,16,24,3,6,48
6x + 6,2,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,16,24,1,8,50
3,2,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,16,24,3,6,48
3x,2,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,16,24,1,8,50
4x + 5,2,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,16,24,3,6,48
x + 2,2,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,16,24,1,8,50
x + 4,2,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,16,24,3,6,48
3x + 4,2,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,16,24,1,8,50
x + 5,2,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,16,24,3,6,48
4x + 4,2,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,16,24,1,8,50
2,2,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,16,24,3,6,48
2x,2,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,16,24,1,8,50
5x + 1,2,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,16,24,3,6,48
3x + 6,2,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,16,24,1,8,50
3x + 5,2,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,16,24,3,6,48
2x + 5,2,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,16,24,1,8,50
3x + 1,2,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,16,24,3,6,48
5x + 5,2,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,16,24,1,8,50
6,2,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,16,24,3,6,48
6x,2,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,16,24,1,8,50
x + 3,2,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,16,24,3,6,48
2x + 4,2,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,16,24,1,8,50
2x + 1,2,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,16,24,3,6,48
6x + 1,2,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,16,24,1,8,50
2x + 3,2,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,16,24,3,6,48
x + 1,2,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,16,24,1,8,50
4,2,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,16,24,3,6,48
4x,2,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,16,24,1,8,50
3x + 2,2,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,16,24,3,6,48
6x + 5,2,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,16,24,1,8,50
6x + 3,2,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,16,24,3,6,48
4x + 3,2,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,16,24,1,8,50
6x + 2,2,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,16,24,3,6,48
3x + 3,2,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,16,24,1,8,50
5,2,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,16,24,3,6,48
5x,2,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,16,24,1,8,50
2x + 6,2,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,16,24,3,6,48
4x + 1,2,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,16,24,1,8,50
4x + 2,2,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,16,24,3,6,48
5x + 2,2,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,16,24,1,8,50
4x + 6,2,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,1,3,1,0,0,0,1,1,1,0,1,1,1,3,0,0,1,3,1,1,0,2,0,1,16,24,3,6,48
2x + 2,2,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,3,1,0,0,0,0,0,1,1,3,1,3,1,0,3,1,1,1,1,1,0,1,1,0,16,24,1,8,50
0 soln's,0,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,16,13,21,,,,,
1 soln's,1,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,24,30,18,,,,,
2 soln's,48,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,,,,,
3 soln's,0,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,6,6,10,,,,,
Total soln's,97,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,
