GF(13^1),0,1,11,4,5,3,7,12,2,9,8,10,6,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
0,1,0,0,3,0,0,3,0,0,3,0,0,3,8,1,0,4,13
1,2,2,0,1,1,1,0,2,0,1,1,1,0,4,6,3,0,12
11,2,0,0,1,1,3,1,0,0,1,1,3,1,4,6,1,2,14
4,2,1,1,0,2,0,1,1,1,0,2,0,1,4,6,3,0,12
5,2,1,3,1,0,0,1,1,3,1,0,0,1,4,6,1,2,14
3,2,2,0,1,1,1,0,2,0,1,1,1,0,4,6,3,0,12
7,2,0,0,1,1,3,1,0,0,1,1,3,1,4,6,1,2,14
12,2,1,1,0,2,0,1,1,1,0,2,0,1,4,6,3,0,12
2,2,1,3,1,0,0,1,1,3,1,0,0,1,4,6,1,2,14
9,2,2,0,1,1,1,0,2,0,1,1,1,0,4,6,3,0,12
8,2,0,0,1,1,3,1,0,0,1,1,3,1,4,6,1,2,14
10,2,1,1,0,2,0,1,1,1,0,2,0,1,4,6,3,0,12
6,2,1,3,1,0,0,1,1,3,1,0,0,1,4,6,1,2,14
0 soln's,0,4,7,3,4,7,3,4,7,3,4,7,3,,,,,
1 soln's,1,6,3,9,6,3,9,6,3,9,6,3,9,,,,,
2 soln's,12,3,0,0,3,0,0,3,0,0,3,0,0,,,,,
3 soln's,0,0,3,1,0,3,1,0,3,1,0,3,1,,,,,
Total soln's,25,12,12,12,12,12,12,12,12,12,12,12,12,,,,,
